Property Type,Check-in,Check-out,Name,Price,Rating,Reviews Count,Location,Image URL,Image Path
hotel,2024-01-01,2024-01-03,North Palace Khaplu,,Scored 9.2,,Khaplu,https://cf.bstatic.com/xdata/images/hotel/square240/581956645.webp?k=97806407593a79d9b6a3a26419ea1268fe0ed044ae4ddf080eebc0762757797e&o=,images_hotel\North_Palace_Khaplu_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,Royal Shangrila Balakot,,Scored 8.5,,Bālākot,https://cf.bstatic.com/xdata/images/hotel/square240/551362742.webp?k=2024cb42819f03b50aac28bdd72f701b19a6a41f67435e8c40ce7087afe5c25b&o=,images_hotel\Royal_Shangrila_Balakot_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,The Barcelo hotel,,Scored 8.8,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/556100915.webp?k=114a0abc3cdd9dd75dfaac047697bb6b6ac08832818f3b0d2f34527952334291&o=,images_hotel\The_Barcelo_hotel_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,Faisalabad Serena Hotel,,Scored 8.3,,Faisalabad,https://cf.bstatic.com/xdata/images/hotel/square240/82073976.webp?k=a203d86cb2f6bf0ec413f058b387c10b6dce1d7d3cccc8e9897d9b044902aebf&o=,images_hotel\Faisalabad_Serena_Hotel_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,Kundan Lodges Shikarpur,,Scored 9.0,,Shikārpur,https://cf.bstatic.com/xdata/images/hotel/square240/406674689.webp?k=9704ebc716e6948c0b5807716d9d5e145d31228cf706ed932aed528780bf7352&o=,images_hotel\Kundan_Lodges_Shikarpur_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,"Roomy Daastaan Hotel, Karimabad Hunza",,Scored 8.6,,Hunza,https://cf.bstatic.com/xdata/images/hotel/square240/366124391.webp?k=239d3681909c87c3f19ad059b821509a99a62c507cc0bd33bdc16e8508525d47&o=,images_hotel\Roomy_Daastaan_Hotel__Karimabad_Hunza_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,applegardenhunza,,Scored 8.6,,Alīābād,https://cf.bstatic.com/xdata/images/hotel/square240/435751103.webp?k=d31144ef5ab8cbd6b998e7aff89718cf13c3a10b4bfe820d948281a6b91bcb54&o=,images_hotel\applegardenhunza_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,"The Roomy Lodge, Murree",,Scored 8.6,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/366130298.webp?k=42f18ee0b091e7857d0a3460e9f8ff2e7347e7b3f9e40678bebacbfe1226adbf&o=,images_hotel\The_Roomy_Lodge__Murree_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,Pearl Continental Hotel Malam Jabba,,Scored 8.7,,Swat,https://cf.bstatic.com/xdata/images/hotel/square240/591219872.webp?k=ab6585f9ff9230079eca18e21e230fe51ec66db0af2b1a7532fdc2671011f559&o=,images_hotel\Pearl_Continental_Hotel_Malam_Jabba_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,"Pearl Continental Hotel, Muzaffarabad",,Scored 8.4,,Muzaffarabad,https://cf.bstatic.com/xdata/images/hotel/square240/634351582.webp?k=08271ac1009fbed0ff6ff838f764b92382e02650615fce06f80a885ebc393c31&o=,images_hotel\Pearl_Continental_Hotel__Muzaffarabad_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,"Rose Palace Hotel, Gulberg",,Scored 7.9,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/323415402.webp?k=18297cdd16b137d8c855bce7bf6043d728b179f50691c7cf791c128ded0d202f&o=,images_hotel\Rose_Palace_Hotel__Gulberg_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,Hotel Executive Lodges,,Scored 7.4,,Bahawalpur,https://cf.bstatic.com/xdata/images/hotel/square240/548569737.webp?k=f28fad3b0544cd32e8bfa13e73c9bfb7d92b90364c3539d6daba947a408eb133&o=,images_hotel\Hotel_Executive_Lodges_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,Jhelum Inn Hotel,,Scored 8.5,,Jhelum,https://cf.bstatic.com/xdata/images/hotel/square240/344799521.webp?k=20ac0d50e06d61e695947a7a614c79170c7135606cccc14ee97e8e0d168f4b3c&o=,images_hotel\Jhelum_Inn_Hotel_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,Bling International Hotel Multan,,Scored 9.2,,Multan,https://cf.bstatic.com/xdata/images/hotel/square240/557821339.webp?k=056c01129fe0d77a324fe84453937a0a9f002b2476f0f5f282ed07a09c251b3c&o=,images_hotel\Bling_International_Hotel_Multan_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,Hotel One Sargodha,,Scored 8.5,,Sargodha,https://cf.bstatic.com/xdata/images/hotel/square240/382780103.webp?k=b15b20a12f36ba1f7b94894ae424fce81557d91c5925b8bdb9adee03588893eb&o=,images_hotel\Hotel_One_Sargodha_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,Decent Luxury Hotel Hunza,,Scored 9.8,,Alīābād,https://cf.bstatic.com/xdata/images/hotel/square240/711954057.webp?k=86da22a0ede1186cc67b99b35aeae1c6254e6814508f39e1707829f9dffd25df&o=,images_hotel\Decent_Luxury_Hotel_Hunza_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,Bela Resorts Naran,,Scored 7.2,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/693825535.webp?k=a31d47edff58717f3884bbb9df35df764e4b7a2b081a3c41607b06da7178d09e&o=,images_hotel\Bela_Resorts_Naran_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,One Constitution Avenue by Goldfinch,,Scored 7.2,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/408183553.webp?k=bbddf5b338756723d558373601ea489ffd12976fb987125c0e3e59338dc1be04&o=,images_hotel\One_Constitution_Avenue_by_Goldfinch_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,Multan Swiss Hotel,,Scored 8.3,,Multan,https://cf.bstatic.com/xdata/images/hotel/square240/572798469.webp?k=0d50a2a7b0b71dcd1529c2e4e1acec99a091a5815c68a69c4c832ccfdbbf740e&o=,images_hotel\Multan_Swiss_Hotel_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,Hotel Al Azeem,,Scored 9.2,,Ayubia,https://cf.bstatic.com/xdata/images/hotel/square240/376860047.webp?k=f75f430d57bde9be21808e218f17591d1f1e4df56404b4322ac79fa60fce10fd&o=,images_hotel\Hotel_Al_Azeem_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,Hikal Guest House,,Scored 9.7,,Hunza,https://cf.bstatic.com/xdata/images/hotel/square240/223100496.webp?k=6ea7f50127b36e2b4633019738625cae070a988d69b567ff07c36aa6579c4696&o=,images_hotel\Hikal_Guest_House_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,Hotel Dream Palace,,Scored 8.7,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/707336263.webp?k=55b0f8627d3b56b1180fb4cda24f1da8fdcc2e69a55d3f65f4da23b1bfb1e41c&o=,images_hotel\Hotel_Dream_Palace_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,Panoramic Hotel Lahore,,Scored 8.0,,"Mall Road, Lahore (Mall Road)",https://cf.bstatic.com/xdata/images/hotel/square240/633900980.webp?k=114983dae25f4bfac39000d5a163173e11abdf22bc692a5b52768c37522fbcc2&o=,images_hotel\Panoramic_Hotel_Lahore_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,"Walnut Heights By Roomy, Kalam",,Scored 8.4,,Kalām,https://cf.bstatic.com/xdata/images/hotel/square240/402630799.webp?k=dcab31bf1d9548024925049e6fa8b89791b9f9e16fdeb3235cec07aae84d0e41&o=,images_hotel\Walnut_Heights_By_Roomy__Kalam_2024-01-01.jpg
hotel,2024-01-01,2024-01-03,Ramada by Wyndham Multan,,Scored 8.2,,Multan,https://cf.bstatic.com/xdata/images/hotel/square240/687539967.webp?k=f1f6b30e0966ab7083ecdcdb391c357d6a055107688160267a071e86c02c761f&o=,images_hotel\Ramada_by_Wyndham_Multan_2024-01-01.jpg
hotel,2024-02-01,2024-02-03,North Palace Khaplu,,Scored 9.2,,Khaplu,https://cf.bstatic.com/xdata/images/hotel/square240/581956645.webp?k=97806407593a79d9b6a3a26419ea1268fe0ed044ae4ddf080eebc0762757797e&o=,images_hotel\North_Palace_Khaplu_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,Royal Shangrila Balakot,,Scored 8.5,,Bālākot,https://cf.bstatic.com/xdata/images/hotel/square240/551362742.webp?k=2024cb42819f03b50aac28bdd72f701b19a6a41f67435e8c40ce7087afe5c25b&o=,images_hotel\Royal_Shangrila_Balakot_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,The Barcelo hotel,,Scored 8.8,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/556100915.webp?k=114a0abc3cdd9dd75dfaac047697bb6b6ac08832818f3b0d2f34527952334291&o=,images_hotel\The_Barcelo_hotel_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,Peshawar Barracks Estb 1867,,Scored 8.6,,Peshawar,https://cf.bstatic.com/xdata/images/hotel/square240/521017895.webp?k=f02373728004881a8359fb7b92d3f3307faf052ace4206df77336f05c2827c67&o=,images_hotel\Peshawar_Barracks_Estb_1867_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,Faisalabad Serena Hotel,,Scored 8.3,,Faisalabad,https://cf.bstatic.com/xdata/images/hotel/square240/82073976.webp?k=a203d86cb2f6bf0ec413f058b387c10b6dce1d7d3cccc8e9897d9b044902aebf&o=,images_hotel\Faisalabad_Serena_Hotel_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,Kundan Lodges Shikarpur,,Scored 9.0,,Shikārpur,https://cf.bstatic.com/xdata/images/hotel/square240/406674689.webp?k=9704ebc716e6948c0b5807716d9d5e145d31228cf706ed932aed528780bf7352&o=,images_hotel\Kundan_Lodges_Shikarpur_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,"Roomy Daastaan Hotel, Karimabad Hunza",,Scored 8.6,,Hunza,https://cf.bstatic.com/xdata/images/hotel/square240/366124391.webp?k=239d3681909c87c3f19ad059b821509a99a62c507cc0bd33bdc16e8508525d47&o=,images_hotel\Roomy_Daastaan_Hotel__Karimabad_Hunza_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,applegardenhunza,,Scored 8.6,,Alīābād,https://cf.bstatic.com/xdata/images/hotel/square240/435751103.webp?k=d31144ef5ab8cbd6b998e7aff89718cf13c3a10b4bfe820d948281a6b91bcb54&o=,images_hotel\applegardenhunza_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,"The Roomy Lodge, Murree",,Scored 8.6,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/366130298.webp?k=42f18ee0b091e7857d0a3460e9f8ff2e7347e7b3f9e40678bebacbfe1226adbf&o=,images_hotel\The_Roomy_Lodge__Murree_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,Pearl Continental Hotel Malam Jabba,,Scored 8.7,,Swat,https://cf.bstatic.com/xdata/images/hotel/square240/591219872.webp?k=ab6585f9ff9230079eca18e21e230fe51ec66db0af2b1a7532fdc2671011f559&o=,images_hotel\Pearl_Continental_Hotel_Malam_Jabba_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,"Pearl Continental Hotel, Muzaffarabad",,Scored 8.4,,Muzaffarabad,https://cf.bstatic.com/xdata/images/hotel/square240/634351582.webp?k=08271ac1009fbed0ff6ff838f764b92382e02650615fce06f80a885ebc393c31&o=,images_hotel\Pearl_Continental_Hotel__Muzaffarabad_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,"Rose Palace Hotel, Gulberg",,Scored 7.9,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/323415402.webp?k=18297cdd16b137d8c855bce7bf6043d728b179f50691c7cf791c128ded0d202f&o=,images_hotel\Rose_Palace_Hotel__Gulberg_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,Hotel Executive Lodges,,Scored 7.4,,Bahawalpur,https://cf.bstatic.com/xdata/images/hotel/square240/548569737.webp?k=f28fad3b0544cd32e8bfa13e73c9bfb7d92b90364c3539d6daba947a408eb133&o=,images_hotel\Hotel_Executive_Lodges_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,Jhelum Inn Hotel,,Scored 8.5,,Jhelum,https://cf.bstatic.com/xdata/images/hotel/square240/344799521.webp?k=20ac0d50e06d61e695947a7a614c79170c7135606cccc14ee97e8e0d168f4b3c&o=,images_hotel\Jhelum_Inn_Hotel_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,Bling International Hotel Multan,,Scored 9.2,,Multan,https://cf.bstatic.com/xdata/images/hotel/square240/557821339.webp?k=056c01129fe0d77a324fe84453937a0a9f002b2476f0f5f282ed07a09c251b3c&o=,images_hotel\Bling_International_Hotel_Multan_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,Hotel One Sargodha,,Scored 8.5,,Sargodha,https://cf.bstatic.com/xdata/images/hotel/square240/382780103.webp?k=b15b20a12f36ba1f7b94894ae424fce81557d91c5925b8bdb9adee03588893eb&o=,images_hotel\Hotel_One_Sargodha_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,Decent Luxury Hotel Hunza,,Scored 9.8,,Alīābād,https://cf.bstatic.com/xdata/images/hotel/square240/711954057.webp?k=86da22a0ede1186cc67b99b35aeae1c6254e6814508f39e1707829f9dffd25df&o=,images_hotel\Decent_Luxury_Hotel_Hunza_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,Bela Resorts Naran,,Scored 7.2,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/693825535.webp?k=a31d47edff58717f3884bbb9df35df764e4b7a2b081a3c41607b06da7178d09e&o=,images_hotel\Bela_Resorts_Naran_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,One Constitution Avenue by Goldfinch,,Scored 7.2,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/408183553.webp?k=bbddf5b338756723d558373601ea489ffd12976fb987125c0e3e59338dc1be04&o=,images_hotel\One_Constitution_Avenue_by_Goldfinch_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,Multan Swiss Hotel,,Scored 8.3,,Multan,https://cf.bstatic.com/xdata/images/hotel/square240/572798469.webp?k=0d50a2a7b0b71dcd1529c2e4e1acec99a091a5815c68a69c4c832ccfdbbf740e&o=,images_hotel\Multan_Swiss_Hotel_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,Hotel Al Azeem,,Scored 9.2,,Ayubia,https://cf.bstatic.com/xdata/images/hotel/square240/376860047.webp?k=f75f430d57bde9be21808e218f17591d1f1e4df56404b4322ac79fa60fce10fd&o=,images_hotel\Hotel_Al_Azeem_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,Hotel Dream Palace,,Scored 8.7,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/707336263.webp?k=55b0f8627d3b56b1180fb4cda24f1da8fdcc2e69a55d3f65f4da23b1bfb1e41c&o=,images_hotel\Hotel_Dream_Palace_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,Hikal Guest House,,Scored 9.7,,Hunza,https://cf.bstatic.com/xdata/images/hotel/square240/223100496.webp?k=6ea7f50127b36e2b4633019738625cae070a988d69b567ff07c36aa6579c4696&o=,images_hotel\Hikal_Guest_House_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,Panoramic Hotel Lahore,,Scored 8.0,,"Mall Road, Lahore (Mall Road)",https://cf.bstatic.com/xdata/images/hotel/square240/633900980.webp?k=114983dae25f4bfac39000d5a163173e11abdf22bc692a5b52768c37522fbcc2&o=,images_hotel\Panoramic_Hotel_Lahore_2024-02-01.jpg
hotel,2024-02-01,2024-02-03,"Walnut Heights By Roomy, Kalam",,Scored 8.4,,Kalām,https://cf.bstatic.com/xdata/images/hotel/square240/402630799.webp?k=dcab31bf1d9548024925049e6fa8b89791b9f9e16fdeb3235cec07aae84d0e41&o=,images_hotel\Walnut_Heights_By_Roomy__Kalam_2024-02-01.jpg
hotel,2024-03-01,2024-03-03,North Palace Khaplu,,Scored 9.2,,Khaplu,https://cf.bstatic.com/xdata/images/hotel/square240/581956645.webp?k=97806407593a79d9b6a3a26419ea1268fe0ed044ae4ddf080eebc0762757797e&o=,images_hotel\North_Palace_Khaplu_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,Royal Shangrila Balakot,,Scored 8.5,,Bālākot,https://cf.bstatic.com/xdata/images/hotel/square240/551362742.webp?k=2024cb42819f03b50aac28bdd72f701b19a6a41f67435e8c40ce7087afe5c25b&o=,images_hotel\Royal_Shangrila_Balakot_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,The Barcelo hotel,,Scored 8.8,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/556100915.webp?k=114a0abc3cdd9dd75dfaac047697bb6b6ac08832818f3b0d2f34527952334291&o=,images_hotel\The_Barcelo_hotel_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,Peshawar Barracks Estb 1867,,Scored 8.6,,Peshawar,https://cf.bstatic.com/xdata/images/hotel/square240/521017895.webp?k=f02373728004881a8359fb7b92d3f3307faf052ace4206df77336f05c2827c67&o=,images_hotel\Peshawar_Barracks_Estb_1867_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,Faisalabad Serena Hotel,,Scored 8.3,,Faisalabad,https://cf.bstatic.com/xdata/images/hotel/square240/82073976.webp?k=a203d86cb2f6bf0ec413f058b387c10b6dce1d7d3cccc8e9897d9b044902aebf&o=,images_hotel\Faisalabad_Serena_Hotel_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,Kundan Lodges Shikarpur,,Scored 9.0,,Shikārpur,https://cf.bstatic.com/xdata/images/hotel/square240/406674689.webp?k=9704ebc716e6948c0b5807716d9d5e145d31228cf706ed932aed528780bf7352&o=,images_hotel\Kundan_Lodges_Shikarpur_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,"Roomy Daastaan Hotel, Karimabad Hunza",,Scored 8.6,,Hunza,https://cf.bstatic.com/xdata/images/hotel/square240/366124391.webp?k=239d3681909c87c3f19ad059b821509a99a62c507cc0bd33bdc16e8508525d47&o=,images_hotel\Roomy_Daastaan_Hotel__Karimabad_Hunza_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,applegardenhunza,,Scored 8.6,,Alīābād,https://cf.bstatic.com/xdata/images/hotel/square240/435751103.webp?k=d31144ef5ab8cbd6b998e7aff89718cf13c3a10b4bfe820d948281a6b91bcb54&o=,images_hotel\applegardenhunza_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,"The Roomy Lodge, Murree",,Scored 8.6,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/366130298.webp?k=42f18ee0b091e7857d0a3460e9f8ff2e7347e7b3f9e40678bebacbfe1226adbf&o=,images_hotel\The_Roomy_Lodge__Murree_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,Pearl Continental Hotel Malam Jabba,,Scored 8.7,,Swat,https://cf.bstatic.com/xdata/images/hotel/square240/591219872.webp?k=ab6585f9ff9230079eca18e21e230fe51ec66db0af2b1a7532fdc2671011f559&o=,images_hotel\Pearl_Continental_Hotel_Malam_Jabba_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,"Pearl Continental Hotel, Muzaffarabad",,Scored 8.4,,Muzaffarabad,https://cf.bstatic.com/xdata/images/hotel/square240/634351582.webp?k=08271ac1009fbed0ff6ff838f764b92382e02650615fce06f80a885ebc393c31&o=,images_hotel\Pearl_Continental_Hotel__Muzaffarabad_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,"Rose Palace Hotel, Gulberg",,Scored 7.9,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/323415402.webp?k=18297cdd16b137d8c855bce7bf6043d728b179f50691c7cf791c128ded0d202f&o=,images_hotel\Rose_Palace_Hotel__Gulberg_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,Hotel Executive Lodges,,Scored 7.4,,Bahawalpur,https://cf.bstatic.com/xdata/images/hotel/square240/548569737.webp?k=f28fad3b0544cd32e8bfa13e73c9bfb7d92b90364c3539d6daba947a408eb133&o=,images_hotel\Hotel_Executive_Lodges_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,Jhelum Inn Hotel,,Scored 8.5,,Jhelum,https://cf.bstatic.com/xdata/images/hotel/square240/344799521.webp?k=20ac0d50e06d61e695947a7a614c79170c7135606cccc14ee97e8e0d168f4b3c&o=,images_hotel\Jhelum_Inn_Hotel_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,Bling International Hotel Multan,,Scored 9.2,,Multan,https://cf.bstatic.com/xdata/images/hotel/square240/557821339.webp?k=056c01129fe0d77a324fe84453937a0a9f002b2476f0f5f282ed07a09c251b3c&o=,images_hotel\Bling_International_Hotel_Multan_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,Hotel One Sargodha,,Scored 8.5,,Sargodha,https://cf.bstatic.com/xdata/images/hotel/square240/382780103.webp?k=b15b20a12f36ba1f7b94894ae424fce81557d91c5925b8bdb9adee03588893eb&o=,images_hotel\Hotel_One_Sargodha_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,Decent Luxury Hotel Hunza,,Scored 9.8,,Alīābād,https://cf.bstatic.com/xdata/images/hotel/square240/711954057.webp?k=86da22a0ede1186cc67b99b35aeae1c6254e6814508f39e1707829f9dffd25df&o=,images_hotel\Decent_Luxury_Hotel_Hunza_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,Bela Resorts Naran,,Scored 7.2,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/693825535.webp?k=a31d47edff58717f3884bbb9df35df764e4b7a2b081a3c41607b06da7178d09e&o=,images_hotel\Bela_Resorts_Naran_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,One Constitution Avenue by Goldfinch,,Scored 7.2,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/408183553.webp?k=bbddf5b338756723d558373601ea489ffd12976fb987125c0e3e59338dc1be04&o=,images_hotel\One_Constitution_Avenue_by_Goldfinch_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,Multan Swiss Hotel,,Scored 8.3,,Multan,https://cf.bstatic.com/xdata/images/hotel/square240/572798469.webp?k=0d50a2a7b0b71dcd1529c2e4e1acec99a091a5815c68a69c4c832ccfdbbf740e&o=,images_hotel\Multan_Swiss_Hotel_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,Hotel Al Azeem,,Scored 9.2,,Ayubia,https://cf.bstatic.com/xdata/images/hotel/square240/376860047.webp?k=f75f430d57bde9be21808e218f17591d1f1e4df56404b4322ac79fa60fce10fd&o=,images_hotel\Hotel_Al_Azeem_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,Hotel Dream Palace,,Scored 8.7,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/707336263.webp?k=55b0f8627d3b56b1180fb4cda24f1da8fdcc2e69a55d3f65f4da23b1bfb1e41c&o=,images_hotel\Hotel_Dream_Palace_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,Hikal Guest House,,Scored 9.7,,Hunza,https://cf.bstatic.com/xdata/images/hotel/square240/223100496.webp?k=6ea7f50127b36e2b4633019738625cae070a988d69b567ff07c36aa6579c4696&o=,images_hotel\Hikal_Guest_House_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,Panoramic Hotel Lahore,,Scored 8.0,,"Mall Road, Lahore (Mall Road)",https://cf.bstatic.com/xdata/images/hotel/square240/633900980.webp?k=114983dae25f4bfac39000d5a163173e11abdf22bc692a5b52768c37522fbcc2&o=,images_hotel\Panoramic_Hotel_Lahore_2024-03-01.jpg
hotel,2024-03-01,2024-03-03,"Walnut Heights By Roomy, Kalam",,Scored 8.4,,Kalām,https://cf.bstatic.com/xdata/images/hotel/square240/402630799.webp?k=dcab31bf1d9548024925049e6fa8b89791b9f9e16fdeb3235cec07aae84d0e41&o=,images_hotel\Walnut_Heights_By_Roomy__Kalam_2024-03-01.jpg
hotel,2024-04-01,2024-04-03,North Palace Khaplu,,Scored 9.2,,Khaplu,https://cf.bstatic.com/xdata/images/hotel/square240/581956645.webp?k=97806407593a79d9b6a3a26419ea1268fe0ed044ae4ddf080eebc0762757797e&o=,images_hotel\North_Palace_Khaplu_2024-04-01.jpg
hotel,2024-04-01,2024-04-03,Royal Shangrila Balakot,,Scored 8.5,,Bālākot,https://cf.bstatic.com/xdata/images/hotel/square240/551362742.webp?k=2024cb42819f03b50aac28bdd72f701b19a6a41f67435e8c40ce7087afe5c25b&o=,images_hotel\Royal_Shangrila_Balakot_2024-04-01.jpg
hotel,2024-04-01,2024-04-03,The Barcelo hotel,,Scored 8.8,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/556100915.webp?k=114a0abc3cdd9dd75dfaac047697bb6b6ac08832818f3b0d2f34527952334291&o=,images_hotel\The_Barcelo_hotel_2024-04-01.jpg
hotel,2024-04-01,2024-04-03,Faisalabad Serena Hotel,,Scored 8.3,,Faisalabad,https://cf.bstatic.com/xdata/images/hotel/square240/82073976.webp?k=a203d86cb2f6bf0ec413f058b387c10b6dce1d7d3cccc8e9897d9b044902aebf&o=,images_hotel\Faisalabad_Serena_Hotel_2024-04-01.jpg
hotel,2024-04-01,2024-04-03,Kundan Lodges Shikarpur,,Scored 9.0,,Shikārpur,https://cf.bstatic.com/xdata/images/hotel/square240/406674689.webp?k=9704ebc716e6948c0b5807716d9d5e145d31228cf706ed932aed528780bf7352&o=,images_hotel\Kundan_Lodges_Shikarpur_2024-04-01.jpg
hotel,2024-04-01,2024-04-03,"Roomy Daastaan Hotel, Karimabad Hunza",,Scored 8.6,,Hunza,https://cf.bstatic.com/xdata/images/hotel/square240/366124391.webp?k=239d3681909c87c3f19ad059b821509a99a62c507cc0bd33bdc16e8508525d47&o=,images_hotel\Roomy_Daastaan_Hotel__Karimabad_Hunza_2024-04-01.jpg
hotel,2024-04-01,2024-04-03,applegardenhunza,,Scored 8.6,,Alīābād,https://cf.bstatic.com/xdata/images/hotel/square240/435751103.webp?k=d31144ef5ab8cbd6b998e7aff89718cf13c3a10b4bfe820d948281a6b91bcb54&o=,images_hotel\applegardenhunza_2024-04-01.jpg
hotel,2024-04-01,2024-04-03,"The Roomy Lodge, Murree",,Scored 8.6,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/366130298.webp?k=42f18ee0b091e7857d0a3460e9f8ff2e7347e7b3f9e40678bebacbfe1226adbf&o=,images_hotel\The_Roomy_Lodge__Murree_2024-04-01.jpg
hotel,2024-04-01,2024-04-03,Pearl Continental Hotel Malam Jabba,,Scored 8.7,,Swat,https://cf.bstatic.com/xdata/images/hotel/square240/591219872.webp?k=ab6585f9ff9230079eca18e21e230fe51ec66db0af2b1a7532fdc2671011f559&o=,images_hotel\Pearl_Continental_Hotel_Malam_Jabba_2024-04-01.jpg
hotel,2024-04-01,2024-04-03,"Pearl Continental Hotel, Muzaffarabad",,Scored 8.4,,Muzaffarabad,https://cf.bstatic.com/xdata/images/hotel/square240/634351582.webp?k=08271ac1009fbed0ff6ff838f764b92382e02650615fce06f80a885ebc393c31&o=,images_hotel\Pearl_Continental_Hotel__Muzaffarabad_2024-04-01.jpg
hotel,2024-04-01,2024-04-03,"Rose Palace Hotel, Gulberg",,Scored 7.9,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/323415402.webp?k=18297cdd16b137d8c855bce7bf6043d728b179f50691c7cf791c128ded0d202f&o=,images_hotel\Rose_Palace_Hotel__Gulberg_2024-04-01.jpg
